Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA,AAPL,AMZN,GOOGL,MSFT,NVDA,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.71607208251953,94.90049743652344,68.1083755493164,153.32325744628906,5.972161293029785,28.68400001525879,72.77659819422657,94.90049743652344,68.1083755493164,153.42826088554256,5.972161293029785,28.713333129882812,71.46681225027338,93.2074966430664,67.00415768648521,151.1372952944172,5.892751948637045,28.11400032043457,71.72101896406637,93.75,67.09970156760528,151.5668495220527,5.943285210959953,28.299999237060547,135480400,80580000,27278000,22622100,237536000,142981500
2020-01-03,72.0091323852539,93.74849700927734,67.7520751953125,151.41412353515625,5.876569747924805,29.534000396728516,72.77176000550182,94.30999755859375,68.36066912200879,152.68370535175205,5.920382166163585,30.266666412353516,71.78397699623217,93.2249984741211,67.04545444931702,150.87956583671692,5.827529752066853,29.128000259399414,71.9413434276417,93.2249984741211,67.07929686090621,151.12776374356721,5.852423182311676,29.366666793823242,146322800,75288000,23408000,21116200,205384000,266677500
2020-01-06,72.58290100097656,95.14399719238281,69.55794525146484,151.80548095703125,5.901214599609375,30.1026668548584,72.62163859417052,95.18450164794922,69.58332136437583,151.87230794316667,5.906442177842307,30.104000091552734,70.87606782262263,93.0,67.22858209701914,149.39995707140503,5.757082528442674,29.333332061767578,71.12785848416316,93.0,67.25992638011208,149.9440697335836,5.783220419607336,29.364667892456055,118387200,81236000,46768000,20813700,262636000,151995000
2020-01-07,72.2415542602539,95.34300231933594,69.42359161376953,150.42135620117188,5.972659587860107,31.270666122436523,72.84923143823697,95.69450378417969,69.84109780511007,152.4164068417858,6.018463341200832,31.441999435424805,72.02123831231323,94.60199737548828,69.24693831666055,150.1731728919405,5.884537133884927,30.224000930786133,72.59260129853506,95.2249984741211,69.68982062314994,152.0823156061593,5.929594022388191,30.760000228881836,108872000,80898000,34330000,21634100,314856000,268231500
2020-01-08,73.40364837646484,94.59850311279297,69.917724609375,152.81735229492188,5.983861446380615,32.80933380126953,73.70627893727402,95.55000305175781,70.25660431481994,153.49510448810574,6.025184484363847,33.232666015625,71.943758846659,94.3219985961914,69.30017841973043,150.7745698093218,5.928349401284013,31.215333938598633,71.943758846659,94.9020004272461,69.40915447916457,151.71004582761572,5.968427506304748,31.579999923706055,132079200,70160000,35314000,27746500,277108000,467164500
2020-01-09,74.9627914428711,95.05249786376953,70.65172576904297,154.7264404296875,6.049579620361328,32.089332580566406,75.15647202012606,95.89099884033203,71.09410696019447,154.85053934516978,6.122019332386319,33.253334045410156,74.13237506994084,94.79000091552734,70.1750010182619,153.71459730049477,5.9958101036344775,31.524667739868164,74.38415834268419,95.49449920654297,70.75821130524572,154.48779763259108,6.070241138559637,33.13999938964844,170108400,63346000,33200000,21385000,255112000,426606000
2020-01-10,75.13225555419922,94.15799713134766,71.1080322265625,154.0105743408203,6.0819411277771,31.876667022705078,75.69878635468899,95.34700012207031,71.40561310051638,155.8051735619528,6.187240048138393,32.3293342590332,74.62868165074606,94.0,70.64226436176689,153.8578393931481,6.067752120336746,31.579999923706055,75.19762847110803,95.26850128173828,71.13341593357758,155.42335075837863,6.156870235432352,32.11933135986328,140644800,57074000,26258000,20725900,316296000,194392500
2020-01-13,76.73743438720703,94.56500244140625,71.65890502929688,155.8624267578125,6.272624492645264,34.990665435791016,76.764069722162,94.9000015258789,71.73105459235768,155.89106273635204,6.2977667270316795,35.04199981689453,75.33080794077236,94.04000091552734,70.92939109321708,153.9341883310565,6.142432131580578,32.79999923706055,75.44944416084779,94.56549835205078,71.42103622672836,154.4114740608552,6.165085449519322,32.900001525878906,121532000,55616000,30730000,21626500,319840000,397764000
2020-01-14,75.70123291015625,93.47200012207031,71.18914794921875,154.76467895507812,6.155625343322754,35.861331939697266,76.88512745571894,94.35549926757812,71.78828087353631,156.16790019811782,6.255198609471692,36.49399948120117,75.57776463991175,92.92749786376953,71.04881242286127,154.37330115192177,6.142431523520895,34.99333190917969,76.67449772391772,94.29399871826172,71.65740633981173,155.96743377813863,6.229807106111832,36.284000396728516,161954400,68818000,26076000,23477400,359088000,434943000
2020-01-15,75.3768081665039,93.10099792480469,71.61760711669922,155.76695251464844,6.113057613372803,34.56666564941406,76.38396369325629,93.94300079345703,71.69623359683659,156.49243609343492,6.190724906446036,35.85599899291992,74.94343907710318,92.75450134277344,71.24240200906924,155.18467794940653,6.087168515681725,34.452667236328125,75.50028381601487,93.61250305175781,71.31007924880507,155.23239486645008,6.168320861336342,35.31733322143555,121923600,57932000,21550000,21417900,263104000,260532000
2020-01-16,76.32100677490234,93.89700317382812,72.16300201416016,158.62112426757812,6.196700572967529,34.232666015625,76.43238014496747,94.27950286865234,72.18987397034176,158.68795125558384,6.20267501782928,34.297332763671875,75.55837921189631,93.3010025024414,71.65741591572775,156.57834209956698,6.143179840733057,32.81133270263672,75.92153589794125,94.14949798583984,71.92861841895987,156.88381193227306,6.166579551940377,32.91666793823242,108829200,53190000,26080000,23865400,284192000,326050500
2020-01-17,77.16594696044922,93.23600006103516,73.6240005493164,159.50888061523438,6.2054123878479,34.03333282470703,77.16836298058836,94.33200073242188,73.67525391932409,159.86206735862157,6.22333572006965,34.37799835205078,76.26289478458983,92.86250305175781,72.48096687413458,157.91473362097693,6.157866106744991,33.54399871826172,76.57036474816839,94.29450225830078,72.77904128791559,159.81433587734148,6.215867546276545,33.840667724609375,137816400,79946000,52424000,34371700,253792000,204436500
2020-01-21,76.64299774169922,94.5999984741211,73.7598648071289,158.93612670898438,6.172057151794434,36.47999954223633,77.23614913553814,94.7135009765625,74.13954981671559,160.5493545898603,6.205663230165802,36.571998596191406,76.5049964495613,93.0,73.16072423104607,158.86929972428416,6.1379530051229825,35.227333068847656,76.79310129941813,93.25,73.59813193167503,159.10794255718054,6.168820894851283,35.349998474121094,110843200,74156000,48930000,29517200,217916000,267052500
2020-01-22,76.91659545898438,94.37300109863281,73.8404769897461,158.17250061035156,6.226072788238525,37.97066879272461,77.4710093927943,95.125,74.67200421330017,159.88119181662015,6.3127014995255815,39.633331298828125,76.82217116630478,94.16699981689453,73.78027135418839,158.15340510126097,6.19844116741737,37.27333450317383,77.12964119289799,94.80449676513672,74.13208973203312,159.7952693085153,6.217360157781652,38.125999450683594,101832400,64326000,28458000,24138800,239240000,470535000
2020-01-23,77.28700256347656,94.22899627685547,73.88127899169922,159.14614868164062,6.294529914855957,38.14666748046875,77.3668937772688,94.4990005493164,74.31968898431825,159.22251614329255,6.302993749399397,38.79999923706055,76.42026453610515,93.63800048828125,73.66382040673582,157.76202303250872,6.177282588572863,37.040000915527344,76.96984634011159,94.25550079345703,74.02360392331533,158.64022699310001,6.266151901673398,37.616668701171875,104472000,49692000,26650000,19680800,244516000,294765000
